--- Reporte de No Match: 2026-05-26 21:30:47.986902 ---
[C_f27a8610b94af6280a9f12e485938e4b.json] https://centrale.cl/producto/mouse-kensington-pro-fit-ergonomico-negro-cable-5-botones-dpi-ajustable/ | TYPE: Mouse | PN: 27469 - K75403
[C_efc224ebdfa54110e60f73c294bcb657.json] https://centrale.cl/producto/monitor-dell-24-touch-full-hd-ips-usb-c-con-hub-usb-c-rj45-hdmi-dp/ | TYPE: Monitor | PN: 210-BHSF
[C_87dcd68977d8cf08710edbbdbce20409.json] https://centrale.cl/producto/monitor-dell-ultrasharp-u2424he-23-8-full-hd-hdmi-displayport-usb-c/ | TYPE: Monitor | PN: 210-BKRY
[C_308f41f321c6b23961a3a8f7b41e8048.json] https://centrale.cl/producto/ups-eaton-online-9px-torre-o-rack-2200va-2200w/ | TYPE: UPS | PN: 9PX2200IRT3U
[C_332e4a0b6dfd52b543f875d715f0c75b.json] https://centrale.cl/producto/ups-online-eaton-9e10ki-10kva-8kw-230v-lcd-usb-rs-232-torre/ | TYPE: UPS | PN: 9E10KI
[C_f62bf46ed412e3b2c0f097714e387bdb.json] https://centrale.cl/producto/thermal-pad-arctic-tp-3-1mm-espesor-120x20mm-pack-4-unidades/ | TYPE: ThermalCompound | PN: ACTPD00056A
[C_cfc162fbf6081d73b30e5b01985a5901.json] https://centrale.cl/producto/audifono-genius-hs-220u-usb-microfono-flexible-win-mac/ | TYPE: Headphones | PN: 31710020400
[C_0898bc5e275ca2d82b60ef56c59061a9.json] https://centrale.cl/producto/webcam-kensington-w1050-full-hd-1080p-2mp-microfono-dual/ | TYPE: Webcam | PN: K80250WW
[C_a50ff3de0b54f67c5d21bb25268b9668.json] https://centrale.cl/producto/tarjeta-de-video-msi-geforce-rtx-5070-shadow-2x-oc-12gb-gddr7/ | TYPE: VideoCard | PN: 912-V532-011
[C_b5715731afe7328281a0c389bee0487a.json] https://centrale.cl/producto/fuente-poder-asus-rog-thor-1200w-platinum-iii-full-modular/ | TYPE: PowerSupply | PN: 90YE00V2-B0AA00
[C_b24d86def34f97bb7466a55404999d40.json] https://centrale.cl/producto/panel-adaptador-frontal-panduit-opticom-negro-para-fibra-optica/ | TYPE: NetworkAdapter | PN: FAPB
[C_84b7b57a34564a635eb3aa243b69f9b1.json] https://centrale.cl/producto/nexxt-gabinete-18u-de-pared-fijo-19-600x600-skd-2fan-negro-npc-f18u66b/ | TYPE: NetworkAdapter | PN: NPC-F18U66B
[C_288ff152d735f8429e1f9a6f853d10c7.json] https://centrale.cl/producto/disco-ssd-externo-1tb-kingston-xs1000-rojo-usb-c-usb-a/ | TYPE: ExternalStorage | PN: SXS1000R/1000G
[C_1a834af8472152b2e66e68d8992400ff.json] https://centrale.cl/producto/monitor-gamer-24-lg-ultragear-full-hd-180hz-ips-1ms-gtg-hdr10/ | TYPE: Monitor | PN: 24GS60F-B
[C_fe38d5eb090dff2d2af7a5f985077be9.json] https://centrale.cl/producto/almohadillas-blackwire-poly-c5000-polipiel-negra-pack-de-2-plantronics/ | TYPE: Headphones | PN: 208927-01
[C_96ba409dbffd7bcad9fa3e6adddaa33f.json] https://centrale.cl/producto/placa-madre-asus-prime-h610m-f-d4-lga1700-micro-atx-ddr4-m-2-pcie-4-0/ | TYPE: Motherboard | PN: 90MB1H70-M0EAY0
[C_4609b5e305fb3c4a5bed27bdd1b751f1.json] https://centrale.cl/producto/ssd-sandisk-plus-1tb-2-5-sata-iii-545mb-s-3d-nand/ | TYPE: Storage | PN: SDSSDA-1T00-G28
[C_3ec328c44d495617e345a4057f910671.json] https://centrale.cl/producto/memoria-ram-16gb-ddr4-3200mt-s-cl22-kingston-16gbit-dimm/ | TYPE: Memory | PN: KCP432NS8/16
[C_83a1832491b184db31573ad8658b178a.json] https://centrale.cl/producto/apc-ups-online-de-conversion-dual-easy-ups-1kva-800w-torre-srv1kil/ | TYPE: UPS | PN: SRV1KIL
[C_219beb31408f1df6b72a9eda705e9d90.json] https://centrale.cl/producto/ups-online-eaton-dx-3000i-3000va-2100w-torre-4xc131xc19/ | TYPE: UPS | PN: DX 3000I
[C_19ae99c543a25595077171f1a409dcac.json] https://centrale.cl/producto/disipador-cpu-thermalright-peerless-assassin-120-vision-argb/ | TYPE: CPUCooler | PN: PEERLESS ASSASSIN 120 VISION ARGB BLACK
[C_d8b42227e15c6eed79a41c126072657d.json] https://centrale.cl/producto/mouse-klip-xtreme-vector-kmw-330-inalambrico-2-4ghz-1000-1600dpi-6-botones/ | TYPE: Mouse | PN: KMW-330BL
[C_2587ce8debf53c649d0663ddd2a9e9c2.json] https://centrale.cl/producto/kingston-memoria-ram-notebook-valueram-ddr3-sdram-1600-mhz-non-ecc/ | TYPE: Memory | PN: KVR16LS11D6A/4WP
[C_b994f70a3c963ac13fb6aafafd0c549f.json] https://centrale.cl/producto/monitor-profesional-32-benq-macbook-series-ma320u-4k-ips-600nits-m-book/ | TYPE: Monitor | PN: 9H.LMXLB.QBL
[C_2f9f4e9422c6d226d10971551a78b749.json] https://centrale.cl/producto/jabra-evolve2-85-audifono-profesional-inalambrico-bluetooth-stereo-usb-jack/ | TYPE: Headphones | PN: 28599-999-999
[C_e015858b30f0dc5c39641e629d88f888.json] https://centrale.cl/producto/hpe-cartucho-lto-ultrium-9-45tb-escritura-y-regrabable-azul-claro/ | TYPE: ExternalStorage | PN: Q2079A
[C_95213bd1642fbe200e6c990d7a57ef3e.json] https://centrale.cl/producto/samsung-monitor-lh50qmc-prof-lh50qmcebgcxza/ | TYPE: Monitor | PN: LH50QMCEBGCXZA
[C_6eae18e8994a003ceb84041939f13463.json] https://centrale.cl/producto/disipador-termico-hpe-para-proliant-dl380-gen10-disipacion-optima/ | TYPE: CPUCooler | PN: P37034-B21
[C_43b8b0cd3bd268d30ea09aafc2600a47.json] https://centrale.cl/producto/clio-fuente-de-poder-atx-850w-gold-atx-modular-pcie-5-0-atx-pro-m-850w/ | TYPE: PowerSupply | PN: PRO-M-850W
